X (mm),Y (mm),Z (mm),EM0_Mag,EM0_Az,EM1_Mag,EM1_Az,EM2_Mag,EM2_Az,EM3_Mag,EM3_Az,EM4_Mag,EM4_Az,EM5_Mag,EM5_Az,EM6_Mag,EM6_Az,EM7_Mag,EM7_Az,EM8_Mag,EM8_Az,EM9_Mag,EM9_Az,EM10_Mag,EM10_Az,EM11_Mag,EM11_Az
214.29,107.14,40.00,0.003137,35.24,0.002018,330.98,0.001783,22.71,0.012645,264.05,0.015110,150.83,0.011125,125.84,0.001658,293.85,0.001541,169.01,0.001059,318.53,0.002745,128.84,0.004538,60.62,0.002588,251.11
235.71,107.14,40.00,0.002527,31.70,0.001564,326.08,0.001405,20.56,0.014049,236.76,0.020692,131.00,0.014761,113.96,0.001459,299.35,0.001272,174.81,0.000901,321.63,0.002761,146.98,0.005029,71.57,0.002814,258.11
257.14,107.14,40.00,0.002062,28.80,0.001237,321.85,0.001127,18.76,0.014265,202.40,0.025170,106.36,0.017610,99.46,0.001280,304.07,0.001055,180.08,0.000769,324.36,0.002750,167.26,0.005323,83.02,0.002948,265.49
278.57,107.14,40.00,0.001703,26.37,0.000997,318.17,0.000919,17.24,0.014237,165.00,0.025657,79.02,0.017917,83.66,0.001124,308.17,0.000882,184.87,0.000659,326.77,0.002748,188.51,0.005351,94.66,0.002961,273.01
300.00,107.14,40.00,0.001423,24.32,0.000816,314.95,0.000760,15.95,0.014176,129.64,0.021773,53.56,0.015454,68.75,0.000988,311.74,0.000742,189.24,0.000568,328.90,0.002760,209.11,0.005106,106.17,0.002850,280.44
0.00,128.57,40.00,0.008604,222.99,0.014328,117.65,0.009189,106.93,0.001322,329.30,0.000809,214.59,0.000717,159.94,0.003840,147.27,0.006948,71.25,0.003997,258.02,0.001099,42.69,0.000772,343.24,0.000619,207.65
21.43,128.57,40.00,0.008581,192.79,0.016034,98.12,0.010133,94.97,0.001564,326.78,0.000984,210.88,0.000859,158.37,0.003822,170.38,0.007381,84.58,0.004202,266.53,0.001267,45.96,0.000925,347.50,0.000726,209.64
42.86,128.57,40.00,0.008594,160.91,0.015828,77.85,0.010019,82.57,0.001867,323.83,0.001214,206.69,0.001041,156.54,0.003825,194.38,0.007331,98.12,0.004178,275.19,0.001466,49.75,0.001120,352.21,0.000857,211.91
64.29,128.57,40.00,0.008575,131.49,0.013825,58.67,0.008909,70.82,0.002248,320.32,0.001522,201.92,0.001279,154.40,0.003840,217.08,0.006813,111.34,0.003932,283.63,0.001700,54.16,0.001370,357.43,0.001020,214.51
85.71,128.57,40.00,0.008118,107.23,0.011000,41.80,0.007306,60.52,0.002730,316.09,0.001941,196.49,0.001592,151.86,0.003788,236.93,0.005978,123.81,0.003528,291.50,0.001973,59.36,0.001691,3.25,0.001222,217.50
107.14,128.57,40.00,0.007205,88.53,0.008283,27.51,0.005711,51.95,0.003338,310.91,0.002521,190.23,0.002011,148.81,0.003616,253.49,0.005022,135.24,0.003053,298.61,0.002285,65.53,0.002103,9.76,0.001471,220.97
128.57,128.57,40.00,0.006098,74.44,0.006098,15.56,0.004375,45.00,0.004099,304.45,0.003335,182.97,0.002578,145.12,0.003335,267.03,0.004099,145.55,0.002578,304.88,0.002630,72.95,0.002630,17.05,0.001777,225.00
150.00,128.57,40.00,0.005027,63.77,0.004485,5.53,0.003345,39.40,0.005027,296.23,0.004485,174.47,0.003345,140.60,0.002991,278.05,0.003293,154.76,0.002147,310.31,0.002991,81.95,0.003293,25.24,0.002147,229.69
171.43,128.57,40.00,0.004099,55.55,0.003335,357.03,0.002578,34.88,0.006098,285.56,0.006098,164.44,0.004375,135.00,0.002630,287.05,0.002630,162.95,0.001777,315.00,0.003335,92.97,0.004099,34.45,0.002578,235.12
192.86,128.57,40.00,0.003338,49.09,0.002521,349.77,0.002011,31.18,0.007205,271.47,0.008283,152.49,0.005711,128.05,0.002285,294.47,0.002103,170.24,0.001471,319.03,0.003616,106.51,0.005022,44.76,0.003053,241.39
214.29,128.57,40.00,0.002730,43.91,0.001941,343.51,0.001592,28.14,0.008118,252.77,0.011000,138.20,0.007306,119.48,0.001973,300.64,0.001691,176.75,0.001222,322.50,0.003788,123.07,0.005978,56.19,0.003528,248.50
